Команда (HEX);Размер параметра команды (DEC);Тип параметра команды;Значения параметра команды (DEC);Описание команды;Размер параметра ответа (DEC);Тип параметра ответа;Значения параметра ответа (DEC);Описание ответа;Комментарии
Крышка корпуса ККТ контрольной ленты (0 – опущена, 1 – поднята) ;
;;;;;;;;Отказ левого датчика принтера (0 – нет, 1 – да)
Бумага на выходе из презентера (0 – нет, 1 – да) ;
;;;;;;;;ЭКЛЗ почти заполнена (0 – нет, 1 – да) ;
;;;;;;;;Увеличенная точность количества (0 – нормальная точность, 1 – увеличенная точность) [для ККМ без ЭКЛЗ]. Для ККМ с ЭКЛЗ (1 – нормальная точность, 0 – увеличенная точность) 
Буфер принтера не пуст (0 – пуст, 1 – не пуст) ;
;;;;;1;number;;Режим ККТ;
;;;;;;;1;Выдача данных ;
;;;;;;;2;Открытая смена, 24 часа не кончились ;
;;;;;;;3;Открытая смена, 24 часа кончились ;
;;;;;;;4;Закрытая смена ;
;;;;;;;5;Ожидание подтверждения ввода даты. ;
;;;;;;;6;Не используется ;
;;;;;;;7;Не используется ;
;;;;;;;8;Открытый документ ;
;;;;;;;9;Режим разрешения технологического обнуления ;
;;;;;;;10;Тестовый прогон ;
;;;;;1;number;;Подрежим ККТ;
;;;;;;;0;Бумага есть ;
;;;;;;;1;Пассивное отсутствие бумаги ;
;;;;;;;2;Активное отсутствие бумаги ;
;;;;;;;3;После активного отсутствия бумаги ;
;;;;;;;4;Фаза печати операции полных фискальных отчетов;
;;;;;;;5;Фаза печати операции ;
;;;;;1;number;;Порт ККТ;
;;;;;2;string;;Версия ПО ФП;
;;;;;2;number;;Сборка ПО ФП;
;;;;;1;number;;Дата ПО ФП ДД;
;;;;;1;number;;Дата ПО ФП ММ;
;;;;;1;number;;Дата ПО ФП ГГ;
;;;;;1;number;;Дата ДД;
;;;;;1;number;;Дата ММ;
;;;;;1;number;;Дата ГГ;
;;;;;1;number;;Время ЧЧ;
;;;;;1;number;;Время ММ;
;;;;;1;number;;Время СС;
;;;;;1;bitfield;;Флаг ФП младший байт двухбайтного числа (см. ниже) ;
;;;;;;;;0 – ФП 1 / Накопитель ФП1 (0 – нет, 1 – есть);
;;;;;;;;1 – ФП 2 / Оперативная память (файл) ФП1 (0 – нет, 1 – есть);
;;;;;;;;2 – Лицензия / Заводской номер1 (0 – не введена, 1 – введена);
;;;;;;;;3 – Переполнение ФП (0 – нет, 1 – есть);
;;;;;;;;4 – Батарея ФП (0 – >80%, 1 – <80%);
;;;;;;;;5 – Последняя запись ФП (0 – испорчена, 1 – корректна);
;;;;;;;;6 – Смена в ФП (0 – закрыта, 1 – открыта);
;;;;;;;;7 – 24 часа в ФП (0 – не кончились, 1 – кончились);
;;;;;4;number;;Заводской номер (4 байта) младшее длинное слово 6-байтного числа;
;;;;;2;number;;Номер последней закрытой смены;
;;;;;2;number;;Количество свободных записей в ФП;
;;;;;1;number;;Количество перерегистраций (фискализаций);
;;;;;1;number;;Количество оставшихся перерегистраций (фискализаций);
;;;;;6;number;;ИНН;
;;;;;1;bitfield;;Флаг ФП старший байт двухбайтного числа ;
;;;;;;;;1;
;;;;;;;;2 – АСПД (0 – нет, есть записи активизации ЭКЛЗ в ФП, 1 – да);
;;;;;;;;3 – Блокировка ККТ по неверному паролю НИ (0 – нет, 1 – есть);
;;;;;;;;4 – Зарезервировано;
;;;;;;;;5 – Три или более поврежденных записей сменных итогов в ФП (0 – нет, 1 – да);
;;;;;;;;6 – Запись фискализации или активизации ЭКЛЗ или заводского номера в накопителе повреждена (0 – нет, 1 – да);
;;;;;;;;7 – Зарезервировано;
;;;;;;;;8 – Последняя запись в накопителе ФП (0 – фискализации/активизации ЭКЛЗ, 1 – сменного итога);
;;;;;1;number;;Режим ФП;
;;;;;;;1;1 – Выдача данных оперативной памяти ФП;
;;;;;;;2;2 – Выдача данных накопителя ФП;
;;;;;;;3;3 – Выдача данных полного фискального отчета;
;;;;;;;4;4 – Нормальное состояние ФП;
;;;;;;;5;5 – Выдача данных памяти программ ФП;
;;;;;;;9;9 – Начальная инициализация ОЗУ ФП (тех. обнуление);
;;;;;2;number;;Заводской номер2,5 (2 байта) старшее слово 6-байтного числа ;
12;;;;Печать жирной строки (шрифт 2) ;;;;Печать жирной строки (шрифт 2) ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;1;bitfield;;Флаги ;1;number;;порядковый номер оператора;
;;;;Бит 0 – контрольная лента;;;;;
;;;;Бит 1 – чековая лента;;;;;
;;;;Бит 2 – подкладной документ;;;;;
;;;;Бит 3 – слип-чек;;;;;
;;;;Бит 4 –;;;;;
;;;;Бит 5 –;;;;;
;;;;Бит 6 – перенос строк;;;;;
;;;;Бит 7 – отложенная печать;;;;;
;?;string;;Печатаемые символы (20 или X байт) ;;;;;
13;;;;Гудок ;;;;Гудок ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;;;;;1;number;;порядковый номер оператора;
14;;;;Установка параметров обмена ;;;;Установка параметров обмена ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;1;number;;Номер порта [0…255];;;;;
;1;number;;Код скорости обмена [0…9];;;;;
;;;0;2400;;;;;
;;;1;4800;;;;;
;;;2;9600;;;;;
